filename,easyocr_result,cnn_result,hybrid_result,easyocr_yes,cnn_yes,hybrid_yes,hybrid_region_yes,hybrid_letter_yes,hybrid_digits_yes
Vehicle1010.jpg,ঢাকা শেেট্রো: ১১-৩৯৫৯,ঢাকা মেট্রো-ঘ ,ঢাকা মেট্রো-ঘ ১১-৩৯৫৯,n,n,y,y,y,y
Vehicle1065.jpg,চট্টর মযট্র] গ ১২-৪১০৫,চট্ট মেট্রো-গ ১২৪১০৫,চট্ট মেট্রো-গ ১২-৪১০৫,y,y,y,y,y,y
Vehicle1095.jpg,ঢাক] খে ট্র] ১৩-৭00,ঢাকা মেট্রো-ল ২৭০১৮০,ঢাকা মেট্রো-ল ২৭০১৮০,n,n,n,y,n,n
Vehicle1079.jpg,ঢা| 6ড] ৩১-০৩৮৪,ঢাকা মেট্রো-গ ৩৮১০৩৭,ঢাকা মেট্রো-গ ৩১-০৩৮৪,n,y,y,y,y,y
Vehicle1063.jpg,ঢাকা মেট্রোগ ১৭-১১৩৩,ঢাকা মেট্রো-গ ১৭১১৩৩,ঢাকা মেট্রো-গ ১৭-১১৩৩,y,y,y,y,y,y
Vehicle1058.jpg,ঢাকা মেট্রো: ২-২৮৬৪,ঢাকা মেট্রো-গ ,ঢাকা মেট্রো-গ ,y,n,n,y,y,n
Vehicle1075.jpg,ঢাকা মেট্রো-খ ১২৪০২০০,ঢাকা মেট্রো-খ ১২০২০০,ঢাকা মেট্রো-খ ১২-০২০০,y,y,y,y,y,y
Vehicle1074.jpg,ঢাকা মেেট্রো ্গ ৩৪ং৫০৩৫,ঢাকা মেট্রো-গ ৩৪৫০৩৫,ঢাকা মেট্রো-গ ৩৪-৫০৩৫,y,y,y,y,y,y
Vehicle1093.jpg,ঢাকা নেেট্রেী: ৩৫-৯৮৯৫,ঢাকা মেট্রো-ঘ ৩৫৯৮৯৫,ঢাকা মেট্রো-ঘ ৩৫-৯৮৯৫,n,n,n,y,n,y
Vehicle1129.jpg,ঢাকা মেট্রো গ ৩৯-০৯৫৮,ঢাকা মেট্রো-গ ৩৯০৯৫৮,ঢাকা মেট্রো গ ৩৯-০৯৫৮,,,,,,
Vehicle1144.jpg,দটাগ ঢক]  ৩০80~৮২,ঢাকা মেট্রো-গ ৩৪০২৮২,ঢাকা মেট্রো-গ ৩৪০২৮২,,,,,,
Vehicle1133.jpg,৩|কা সেড়্রো [১১৪০৭৯,ঢাকা মেট্রো-ল ,ঢাকা মেট্রো-ল ,,,,,,
Vehicle1109.jpg,ঢাক1 শেট্র] ২৫০৯৭৮১,ঢাকা -গ ২৫৯৭৮১,ঢাকা -গ ২৫-৯৭৮১,n,y,y,y,y,y
Vehicle1128.jpg,মেট্রো ঘ ঢাকা ১৮-০90৯,ঢাকা -ল ১৮০৭০৯,ঢাকা মেট্রো ঘ ১৮০৭০৯,y,n,y,y,y,y
Vehicle1101.jpg,ঢাক] ` মেট্রা গ 89:২১৭৩], মেট্রো-খ ২৪৩২৭৩,ঢাকা মেট্রো-খ ২৪৩২৭৩,n,n,n,y,n,n
Vehicle1185.jpg,ঢাকা মণট্রী- ২২ং০৩২৭,ঢাকা মেট্রো-গ ২২০৩২৭,ঢাকা মেট্রো-গ ২২-০৩২৭,,,,,,
Vehicle1149.jpg,ঢাতো খেট্রী গ ২৩-৪৬৫৪,ঢাকা মেট্রো-গ ২৩৪৬৫৪,ঢাকা মেট্রো-গ ২৩-৪৬৫৪,,,,,,
Vehicle1157.jpg,ঢাকা মেণট্রো ১৫২৮২১৬,ঢাকা মেট্রো-ঘ ১৫৮২১৬,ঢাকা মেট্রো-ঘ ১৫-৮২১৬,,,,,,
Vehicle1183.jpg,ঢা বৈদর: ৩8:৫0৬৫|,ঢাকা -ল ,ঢাকা -ল ,,,,,,
Vehicle1184.jpg,ঢাকা মেট্রো-গ ২৭-৯১২৬৭,ঢাকা মেট্রো-গ ২৭৯২৬৭,ঢাকা মেট্রো-গ ২৭৯২৬৭,,,,,,
Vehicle1167.jpg,ঢাকা মংট্রা ৩১-০০৮0,ঢাকা মেট্রো-গ ৩১০০৮০,ঢাকা মেট্রো-গ ৩১০০৮০,,,,,,
Vehicle1229.jpg,চাকা ১৫-৬২৯৯ মেড্র],ঢাকা মেট্রো-ঘ ২১৫২৯৯,ঢাকা মেট্রো-ঘ ১৫-৬২৯৯,,,,,,
Vehicle1191.jpg,ঢাম পটঁ ১৯৫৭০৯,ঢাকা মেট্রো-ল ,ঢাকা মেট্রো-ল ,,,,,,
Vehicle1233.jpg,$| ঢাকা  মেট্রো ২২'৪৯৪৪,ঢাকা মেট্রো-ক ২২৪৯৪৪,ঢাকা মেট্রো-ক ২২-৪৯৪৪,,,,,,
Vehicle1207.jpg,ঢাকা মণট্রা ১৭৪৩২৩৩,ঢাকা মেট্রো-ঘ ১৭৩২৩৩,ঢাকা মেট্রো-ঘ ১৭-৩২৩৩,,,,,,
Vehicle1236.jpg,১২ ঔঢ১ীগ> মেট্রৌ-গ ঢাকা ৯৭১০,ঢাকা মেট্রো-গ ২২৯৭১০,ঢাকা মেট্রো-গ ২২৯৭১০,,,,,,
Vehicle1193.jpg,ঢাক1 শেট্র] ২৫০৯৭৮১,ঢাকা -গ ২৫৯৭৮১,ঢাকা -গ ২৫-৯৭৮১,,,,,,
Vehicle1198.jpg,ঢাক1 থেট্র] ১৯-৪০৬৭,ঢাকা মেট্রো-চ ৪৪০৬২৮,ঢাকা মেট্রো-চ ১৯-৪০৬৭,,,,,,
Vehicle1218.jpg,মেট্রো গ ঢাকা  ১৯৪১৯৫৮,ঢাকা মেট্রো-গ ৩৯০৪২২,ঢাকা মেট্রো গ ১৯-১৯৫৮,,,,,,
Vehicle1227.jpg,খুলনা মেট্রো- হ ১২-৪২৩৪,ঢাকা মেট্রো-হ ১২৪২৩৪,খুলনা মেট্রো-হ ১২-৪২৩৪,,,,,,
Vehicle1250.jpg,ঢাকা মেট্রো-গ ২০-৭৫৮৫,ঢাকা মেট্রো-গ ২০৭৫৮৫,ঢাকা মেট্রো-গ ২০-৭৫৮৫,,,,,,
Vehicle1260.jpg,ঢাকা মেট্রৌ গ ৩৯-১৭৮৬,ঢাকা মেট্রো-গ ৩৯১৭৮৬,ঢাকা মেট্রো-গ ৩৯-১৭৮৬,,,,,,
Vehicle1249.jpg,হ খাগড়াছড়ি- ১১-৩২৩৩, মেট্রো-হ ১১৩২৩৩, মেট্রো-হ ১১-৩২৩৩,,,,,,
Vehicle1257.jpg,ঢাকা মেট্রো-গ ২৫৪৮৮০০,ঢাকা মেট্রো-গ ২৫৮৮০০,ঢাকা মেট্রো-গ ২৫-৮৮০০,,,,,,
Vehicle1267.jpg,ঢাকা সেেট্রো |২১৪৩৩৭8,ঢাকা মেট্রো-গ ২১৩৩৭৪,ঢাকা মেট্রো-গ ২১৩৩৭৪,,,,,,
Vehicle1255.jpg,"""0)&51!11|71! ঢাকী মেট্রোগ ৩১৪৯৯৭৪ দঢ7",ঢাকা মেট্রো-হ ৩৮৩৮৫৭,ঢাকা মেট্রো-হ ৩১-৯৯৭৪,,,,,,
Vehicle1256.jpg,ঢাকা মেট্রো-গ ২০৪৮৮০০,ঢাকা মেট্রো-গ ২৫৮৮০০,ঢাকা মেট্রো-গ ২০-৮৮০০,,,,,,
Vehicle1247.jpg,ঢাকা মেট্রৌ গ ২০৪৭৫৮৫,ঢাকা মেট্রো-গ ২০৭৫৮৫,ঢাকা মেট্রো-গ ২০-৭৫৮৫,,,,,,
Vehicle1254.jpg,{{354132 ঢাকা মে্রো-গ ১৯৭৮৬১২,ঢাকা -গ ১৯৮৬১২,ঢাকা -গ ১৯-৮৬১২,,,,,,
Vehicle1244.jpg,ঢাকা মেট্রো গ ৩৯-১৭৮৬,ঢাকা মেট্রো-গ ৩৯১৭৮৬,ঢাকা মেট্রো গ ৩৯-১৭৮৬,,,,,,
Vehicle1274.jpg,চট্ট মেট্রোগ ১৩-২২৩৮,চট্ট মেট্রো-গ ১৭৪২২৪,চট্ট মেট্রো-গ ১৩-২২৩৮,,,,,,
Vehicle1245.jpg,ঢাকা মেট্রো ১৫-৫৫২০,ঢাকা মেট্রো-ঘ ১৫৫৫২০,ঢাকা মেট্রো-ঘ ১৫-৫৫২০,,,,,,
Vehicle1240.jpg,ঢাকা মেট্রো-গ ৩৩-৭৩8৬,ঢাকা মেট্রো-গ ৩৩৭৩৪৬,ঢাকা মেট্রো-গ ৩৩৭৩৪৬,,,,,,
Vehicle1271.jpg,ঢাকা মেট্রোগ ১৯২২০২৩,ঢাকা মেট্রো-গ ১৯২০২৩,ঢাকা মেট্রো-গ ১৯-২০২৩,,,,,,
Vehicle1326.jpg,ঢাকা মেট্রো গ ২৩3৭893,ঢাকা মেট্রো-গ ২৩৭৪৭১,ঢাকা মেট্রো গ ২৩৭৪৭১,,,,,,
Vehicle13.jpg,|মেট্রী; ঢাকা ২২০ ৪99৫,ঢাকা মেট্রো-গ ২০৪৭৭৫,ঢাকা মেট্রো-গ ২০৪৭৭৫,n,y,y,y,y,y
Vehicle130.jpg,কুড়িগ্রাম হ 01 ১৩-৫৩৯৪ 8৭ড়ভ19 0015104400,ঢাকা -হ ১৩৫৩৯৪,কুষ্টিয়া -হ ১৩-৫৩৯৪,y,n,y,y,y,y
Vehicle1315.jpg,ঢাকা মেট্রো- ১৩-৪৫১১,ঢাকা মেট্রো-ঘ ১৩৪৫১১,ঢাকা মেট্রো-ঘ ১৩-৪৫১১,,,,,,
Vehicle1318.jpg,ঢাক মেট্রো ৩৫ ৯০৮২,ঢাকা মেট্রো-গ ২৮৯০৮২,ঢাকা মেট্রো-গ ৩৫-৯০৮২,,,,,,
Vehicle1289.jpg,কক্সবাজার-চ ০১ং০০০১,ঢাকা মেট্রো-চ ০১০০০০,কক্সবাজার মেট্রো-চ ০১-০০০১,,,,,,
Vehicle1305.jpg,মেট্রো-গ] ঢাকী ১৯-৮০৪৩,ঢাকা মেট্রো-ল ১৯৮০৪৩,ঢাকা মেট্রো-গ ১৯-৮০৪৩,,,,,,
Vehicle1286.jpg,ঢাকা মেেট্রে] গ| ৩১-৯৬০২,ঢাকা মেট্রো-গ ৩১৯৬০২,ঢাকা মেট্রো-গ ৩১-৯৬০২,,,,,,
Vehicle1310.jpg,ঢাকা মেট্রাগ ২৩-৭৬১৮,ঢাকা মেট্রো-গ ২৩৭৬১৮,ঢাকা মেট্রো-গ ২৩-৭৬১৮,,,,,,
Vehicle1285.jpg,ঢাকা মেট্রো-ল ৩৮ ৭১৩৬,ঢাকা মেট্রো-ল ৩০৮৭৩৬,ঢাকা মেট্রো-ল ৩৮-৭১৩৬,,,,,,
Vehicle1299.jpg,ঢাকা মেট্র: ২১-৭৩৪২,ঢাকা মেট্রো-গ ২১৭৩৪২,ঢাকা মেট্রো-গ ২১-৭৩৪২,,,,,,
Vehicle1316.jpg,ঢাকা মেট্রা-গ ১৭-২৮৯,ঢাকা মেট্রো-গ ১৭২৮৯৩,ঢাকা মেট্রো-গ ১৭২৮৯৩,,,,,,
Vehicle1296.jpg,1141 শেতেী ১৭৪৮,খুলনা মেট্রো-ল ,খুলনা মেট্রো-ল ,,,,,,
Vehicle1292.jpg,ঢাকা মেণ্ট্রো-গ ৩৩-৮৭৫৬,ঢাকা মেট্রো-গ ,ঢাকা মেট্রো-গ ৩৩-৮৭৫৬,,,,,,
Vehicle1311.jpg,ঢাকা মেট্রোগ ২৩-৭৬১৮,ঢাকা মেট্রো-গ ২৩৭৬১৮,ঢাকা মেট্রো-গ ২৩-৭৬১৮,,,,,,
Vehicle1317.jpg,মেট্রীগ ঢাকা ৩৩-৮৯৭৮,ঢাকা মেট্রো-গ ৩৩৮৯৭৮,ঢাকা মেট্রো-গ ৩৩-৮৯৭৮,,,,,,
Vehicle1333.jpg,ঢাকা মেট্রো: ২৩-৪৫৩২,ঢাকা মেট্রো-গ ৮২৪৫৩২,ঢাকা মেট্রো-গ ২৩-৪৫৩২,,,,,,
Vehicle1351.jpg,মেট্রো গ ঢাকা ১৪৪৫৯২৩,ঢাকা মেট্রো-গ ১৪৫৯২৩,ঢাকা মেট্রো গ ১৪-৫৯২৩,,,,,,
Vehicle1344.jpg,সেট্রো ঢাক] ১৩৪৭০৬১, মেট্রো-ল ,ঢাকা মেট্রো-ল ১৩-৭০৬১,,,,,,
Vehicle1370.jpg,ঢাকাযেটরোগ ৯৪৮৬৯০,ঢাকা মেট্রো-গ ,ঢাকা মেট্রো-গ ,,,,,,
Vehicle1358.jpg,ঢাগযেডরো ১১-৮৭8৭,ঢাকা মেট্রো-ঘ ৪৪৮৭৪৭,ঢাকা মেট্রো-ঘ ৪৪৮৭৪৭,,,,,,
Vehicle1350.jpg,ঢাকা মেট্রী ২১-৩৪৮৫,ঢাকা মেট্রো-গ ১৩৪৮০৫,ঢাকা মেট্রো-গ ২১-৩৪৮৫,,,,,,
Vehicle1349.jpg,ঢাকা শেট্রা য [১২-৭৬৭৭,ঢাকা মেট্রো-খ ১২৭৬৭৭,ঢাকা মেট্রো-খ ১২৭৬৭৭,,,,,,
Vehicle1334.jpg,ঢাকা মেট্রো: ১১৭৮৯৩৭,ঢাকা মেট্রো-ঘ ১১৮৯৩৭,ঢাকা মেট্রো-ঘ ১১-৮৯৩৭,,,,,,
Vehicle1360.jpg,ঢাকা মেট্রৌ ্গ ১৪-৫০০৮,ঢাকা মেট্রো-গ ৪৫০০৪৮,ঢাকা মেট্রো-গ ১৪-৫০০৮,,,,,,
Vehicle1374.jpg,ঢাকা মেট্রো গ ২১-৬০১৭,ঢাকা মেট্রো-গ ২১৬০১৭,ঢাকা মেট্রো গ ২১-৬০১৭,,,,,,
Vehicle1331.jpg,৮141 মট্রী ফ১দদ১১৫৮৪,ঢাকা -ট ,ঢাকা -ট ,,,,,,
Vehicle1332.jpg,ঢাকা মেট্রা ৩৯-১৭৮৬,ঢাকা মেট্রো-গ ৪৯১৭৮৬,ঢাকা মেট্রো-গ ৩৯-১৭৮৬,,,,,,
Vehicle1330.jpg,চট্ট খেট্রো ্গ ১২৪৫৬৯৫, মেট্রো-গ ১২৫৬৯৫,চট্ট মেট্রো-গ ১২-৫৬৯৫,,,,,,
Vehicle1354.jpg,ঢাকা মেট্রো-গ ৩১-৪০৮৯,ঢাকা মেট্রো-গ ৩১৪০৮৯,ঢাকা মেট্রো-গ ৩১-৪০৮৯,,,,,,
Vehicle1372.jpg,ঢাকা মেট্রো গ ৩১-৩১২০,ঢাকা মেট্রো-গ ৩১৩১২০,ঢাকা মেট্রো গ ৩১-৩১২০,,,,,,
Vehicle1355.jpg,ঢাকা মেট্রো গ ১৭-৬২৮৯,ঢাকা মেট্রো-গ ১৭৬২৮৯,ঢাকা মেট্রো গ ১৭-৬২৮৯,,,,,,
Vehicle1347.jpg,মেেট্রো গ ঢাকা ১৪-৫০০৮,ঢাকা মেট্রো-খ ১৪৫০০৮,ঢাকা মেট্রো-খ ১৪-৫০০৮,,,,,,
Vehicle1365.jpg,ঢাকা মেট্রৌ ৩-২২৭৩,ঢাকা মেট্রো-গ ৩৩২২৭৩,ঢাকা মেট্রো-গ ৩৩২২৭৩,,,,,,
Vehicle1393.jpg,৬141 '4 ৩১-২৩৮৩,ঢাকা মেট্রো-গ ,ঢাকা মেট্রো-গ ৩১-২৩৮৩,,,,,,
Vehicle1388.jpg,সোেট্রা গ ঢাকা ১১-৯২০,ঢাকা মেট্রো-গ ১১৯২৫৩,ঢাকা মেট্রো-গ ১১৯২৫৩,,,,,,
Vehicle1383.jpg,ক মে্ট 38 0ৌ৮৮,ঢাকা মেট্রো-গ ,ঢাকা মেট্রো-গ ,,,,,,
Vehicle1390.jpg,$ ঢাক মট্রা ১১-৮৯০২,খুলনা মেট্রো-হ ২১৮৯০২,ঢাকা মেট্রো-হ ১১-৮৯০২,,,,,,
Vehicle1385.jpg,ঢবা মেট্রা ১৭-১৩৬৪,ঢাকা মেট্রো-ঘ ১৭১৩৬৪,ঢাকা মেট্রো-ঘ ১৭-১৩৬৪,,,,,,
Vehicle1404.jpg,ঢাকা মেট্রেো থ ১২-৮৫৯৫,ঢাকা মেট্রো-খ ১২৮৫৯৫,ঢাকা মেট্রো-খ ১২-৮৫৯৫,,,,,,
Vehicle1378.jpg,৮1কী মেট্রো গ ২৩-৯২৭,ঢাকা মেট্রো-গ ২৩৩৯২৭,ঢাকা মেট্রো গ ২৩৩৯২৭,,,,,,
Vehicle1384.jpg,ঢাকা মেনট্রো-ঘ ১১-০৬২১,ঢাকা মেট্রো-ঘ ১১০৬২১,ঢাকা মেট্রো-ঘ ১১-০৬২১,,,,,,
Vehicle1402.jpg,ঢা- মদ্র ১১-১৮১৭,ঢাকা মেট্রো-ল ১১১৮১৭,ঢাকা মেট্রো-ল ১১-১৮১৭,,,,,,
Vehicle1380.jpg,চট্ট মেট্রো-ঘ ১১-১১০১,চট্ট মেট্রো-ঘ ১১১১০১,চট্ট মেট্রো-ঘ ১১-১১০১,,,,,,
Vehicle1389.jpg,মেট্রো ঘ ঢাকা ১৭-৪৬০৭,ঢাকা মেট্রো-ঘ ১৭৪৬০৭,ঢাকা মেট্রো ঘ ১৭-৪৬০৭,,,,,,
Vehicle1406.jpg,ঢাকা-মেট্রো-গ ৭৮৫৭,ঢাকা মেট্রো-গ ২৮৫৬৭১,ঢাকা মেট্রো-গ ২৮৫৬৭১,,,,,,
Vehicle1395.jpg,৬131 মট্রো য ১১-০০৬৮,ঢাকা মেট্রো-ঘ ১০০৬৮০,ঢাকা মেট্রো-ঘ ১১-০০৬৮,,,,,,
Vehicle1420.jpg,চট্ট মেট্রো-ড ১১-০৪৮৩,ঢাকা মেট্রো-ঢ ১১০৪৮৩,চট্ট মেট্রো-ঢ ১১-০৪৮৩,,,,,,
Vehicle1428.jpg,কুড়িগ্রাম- হ ১৩-১৪০১ 00],খুলনা -হ ১৩১৪০১,কুষ্টিয়া -হ ১৩-১৪০১,,,,,,
Vehicle1441.jpg,চট্ট-মেট্টরো-ন ৭৬০২ ১১-,ঢাকা মেট্রো-গ ২২৭৮২৮,চট্ট মেট্রো-গ ২২৭৮২৮,,,,,,
Vehicle1426.jpg,চট্ট মেট্রোণড ১১০০৫২,চট্ট মেট্রো-ল ১১০০৫২,চট্ট মেট্রো-ল ১১০০৫২,,,,,,
Vehicle1435.jpg,ঢাকা মেড্রে] ১১-৬০০০,ঢাকা মেট্রো-গ ১১৬০০০,ঢাকা মেট্রো-গ ১১-৬০০০,,,,,,
Vehicle1421.jpg,ঢাক] শেদ] ১৫-03>3,ঢাকা মেট্রো-গ ২৫৫২২২,ঢাকা মেট্রো-গ ২৫৫২২২,,,,,,
Vehicle1438.jpg,ঢক মেট্রেো-৪ ১৫-২৫১১,ঢাকা মেট্রো-ন ১৫২৫৯৯,ঢাকা মেট্রো-ন ১৫-২৫১১,,,,,,
Vehicle1458.jpg,ঢাকা মেট্রেো গ ৩৩-৭৩৮২,ঢাকা মেট্রো-গ ৩৩৭৩৮২,ঢাকা মেট্রো-গ ৩৩-৭৩৮২,,,,,,
Vehicle1500.jpg,খুলনা মেট্রো-ঘ ০৫ং0008,খুলনা মেট্রো-ঘ ০৫০০০৪,খুলনা মেট্রো-ঘ ০৫০০০৪,,,,,,
Vehicle15.jpg,ঢাকা মেট্রোগ ০৪৪৭9৫,ঢাকা মেট্রো-গ ২০৪৭৭৫,ঢাকা মেট্রো-গ ২০৪৭৭৫,n,y,y,y,y,y
Vehicle1520.jpg,ঢীকীমেট্টো-গ ১৯-৬৫৯৪,ঢাকা মেট্রো-গ ,ঢাকা মেট্রো-গ ১৯-৬৫৯৪,,,,,,
Vehicle1518.jpg,ঢাকা মেট্রো-> @১ ১৪০১৮,ঢাকা মেট্রো-ব ২১৬১২৯,ঢাকা মেট্রো-ব ২১৬১২৯,,,,,,
Vehicle1517.jpg,ঢাকা মেট্রো-গ ৩৯-২৯৯,ঢাকা মেট্রো-গ ৩৯২৯৯৯,ঢাকা মেট্রো-গ ৩৯২৯৯৯,,,,,,
Vehicle1516.jpg,টকা েণট্রো ৫১-৪৮৭৩,ঢাকা মেট্রো-হ ১৪৮৭৩৮,ঢাকা মেট্রো-হ ৫১-৪৮৭৩,,,,,,
Vehicle1533.jpg,ঢাকা মেট্রৌো: [১৭-৩৫৯২,খুলনা মেট্রো-ঘ ২১৭৩৫২,ঢাকা মেট্রো-ঘ ২১৭৩৫২,,,,,,
Vehicle1514.jpg,ঢাকা মে-ট্র1 খ ১২-২৯২৯,ঢাকা মেট্রো-গ ১২২৯২৯,ঢাকা মেট্রো-গ ১২-২৯২৯,,,,,,
Vehicle1507.jpg,নোয়াখালী- ল ১১-৩০৫৯,খুলনা মেট্রো-ল ১১৩০৫৯,খুলনা মেট্রো-ল ১১-৩০৫৯,,,,,,
Vehicle1536.jpg,ঢাকা মেদ্রী 5| ৩১৪২৮২২,ঢাকা মেট্রো-গ ৩১২৮২২,ঢাকা মেট্রো-গ ৩১-২৮২২,,,,,,
Vehicle1531.jpg,ঢাকা মেট্রো-গ ২৩-৯৩৫৮,ঢাকা মেট্রো-গ ২৩৯৩৫৮,ঢাকা মেট্রো-গ ২৩-৯৩৫৮,,,,,,
Vehicle1555.jpg,ঢাকা মেট্রো-খ ১১৪৩৮২৬,ঢাকা মেট্রো-খ ১১৩৮২৬,ঢাকা মেট্রো-খ ১১-৩৮২৬,,,,,,
Vehicle1552.jpg,ঢাকা মেট্রো গ ২৬ং৫৫৬৫,ঢাকা মেট্রো-ল ২৬৫৫৬৫,ঢাকা মেট্রো গ ২৬-৫৫৬৫,,,,,,
Vehicle1554.jpg,চট্ট ম৫][ ঘ[ ১১-৫৬১১,ঢাকা মেট্রো-হ ১১৬৮১১,চট্ট মেট্রো-হ ১১-৫৬১১,,,,,,
Vehicle1546.jpg,ঢাকা মেট্রো ঘ ১৩২৫১৪৫,ঢাকা মেট্রো-ঘ ১৩৫১৪৫,ঢাকা মেট্রো ঘ ১৩-৫১৪৫,,,,,,
Vehicle1568.jpg,ঢাকী মেট্রো গ ৪৩ং8৩৮৮,ঢাকা মেট্রো-গ ৪৩৪৩৮৮,ঢাকা মেট্রো গ ৪৩৪৩৮৮,,,,,,
Vehicle1551.jpg,ঢাকা মেট্রো-্গ ৩৯৪৯১৭৩,ঢাকা মেট্রো-গ ৩৯৯১৭৩,ঢাকা মেট্রো-গ ৩৯-৯১৭৩,,,,,,
Vehicle1565.jpg,ঢাকা :৬' ৩-৪৫৪১,ঢাকা মেট্রো-ল ,ঢাকা মেট্রো-ল ,,,,,,
Vehicle1550.jpg,ঢাকা মেট্রো গ ২৫-০৯০,ঢাকা মেট্রো-গ ২৫০৯০৯,ঢাকা মেট্রো গ ২৫০৯০৯,,,,,,
Vehicle1559.jpg,যেট্রো গ ঢাকা  ১২ ৮৫১৮,ঢাকা মেট্রো-ল ,ঢাকা মেট্রো-ল ১২-৮৫১৮,,,,,,
Vehicle1540.jpg,"চট্টর 4"" ট্রু ১১-৯১৯৪",চট্ট মেট্রো-ল ৮২৯২৮৯,চট্ট মেট্রো-ল ১১-৯১৯৪,,,,,,
Vehicle1548.jpg,ঢাকা মেট্রো গ ৩৫-৯৫৬৮,ঢাকা মেট্রো-ক ৩৫৯৫৬৮,ঢাকা মেট্রো গ ৩৫-৯৫৬৮,,,,,,
Vehicle1541.jpg,চট্ট মট্রা গ ১১-৯১৯৪,চট্ট মেট্রো-গ ১১৯১৯৪,চট্ট মেট্রো-গ ১১-৯১৯৪,,,,,,
Vehicle1538.jpg,ঢাকা মেট্রো: ১১ং৪৭৯৩,ঢাকা মেট্রো-ঘ ১৪৭০৯৩,ঢাকা মেট্রো-ঘ ১১-৪৭৯৩,,,,,,
Vehicle1569.jpg,ঢাক] মে-েট্রা গ ২১-৮৬৩৫,ঢাকা মেট্রো-ল ,ঢাকা মেট্রো-ল ২১-৮৬৩৫,,,,,,
Vehicle1603.jpg,ঢাব ডবদ্র ২২-১৪৮০,ঢাকা মেট্রো-গ ২২১৪৮০,ঢাকা মেট্রো-গ ২২-১৪৮০,,,,,,
Vehicle1590.jpg,চট্ট মেট্রোঠ ১১-০০৬২,চট্ট মেট্রো-ক ১১০০৬২,চট্ট মেট্রো-ক ১১-০০৬২,,,,,,
Vehicle158.jpg,ঢাকা মেট্রো হ ৪১-৫৫১০,ঢাকা মেট্রো-ল ৪১৫৫১০,ঢাকা মেট্রো হ ৪১-৫৫১০,y,n,y,y,y,y
Vehicle1602.jpg,দ ২২-৬৪৮,ঢাকা মেট্রো-ন ,ঢাকা মেট্রো-ন ,,,,,,
Vehicle1601.jpg,ঢাকা মেট্রেো ক ১৪৪০৪৮১,ঢাকা মেট্রো-ক ১৪০৪৮১,ঢাকা মেট্রো-ক ১৪-০৪৮১,,,,,,
Vehicle1578.jpg,চট্ট মে-ট্রা গ ১১-১৯৬৫,চট্ট মেট্রো-গ ২১১৯৬৫,চট্ট মেট্রো-গ ১১-১৯৬৫,,,,,,
